,Vial no.,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,
,690,0.219887,0.235101,0.246858,0.23804,0.233799,0.248819,0.25136,0.240079,0.234456,0.227976,,,,,,,,,,,,,,,,,,,,,,
,700,0.22536,0.241624,0.253657,0.244692,0.241502,0.25687,0.258536,0.248693,0.242639,0.235744,,,,,,,,,,,,,,,,,,,,,,
,710,0.216049,0.231321,0.242998,0.234933,0.231417,0.246026,0.247952,0.237678,0.231764,0.2243,,,,,,,,,,,,,,,,,,,,,,
,720,0.180203,0.19058,0.199274,0.193364,0.190516,0.204994,0.20694,0.199159,0.193596,0.187987,,,,,,,,,,,,,,,,,,,,,,
,730,0.196374,0.211227,0.22122,0.213195,0.209772,0.22421,0.226218,0.21549,0.211285,0.204042,,,,,,,,,,,,,,,,,,,,,,
,740,0.20392,0.218037,0.229498,0.220976,0.216161,0.231068,0.233606,0.222146,0.216482,0.210266,,,,,,,,,,,,,,,,,,,,,,
,750,0.195605,0.208351,0.219954,0.211213,0.20808,0.222938,0.223942,0.214381,0.209846,0.200984,,,,,,,,,,,,,,,,,,,,,,
,760,0.190892,0.204238,0.214132,0.206851,0.203556,0.2174,0.220174,0.210739,0.204127,0.196346,,,,,,,,,,,,,,,,,,,,,,
,770,0.179849,0.192604,0.203108,0.195177,0.19305,0.205955,0.208092,0.199536,0.194259,0.186056,,,,,,,,,,,,,,,,,,,,,,
,780,0.171096,0.183647,0.191627,0.18515,0.18313,0.195836,0.197584,0.189143,0.1846,0.177731,,,,,,,,,,,,,,,,,,,,,,
,790,0.168456,0.18035,0.188959,0.18246,0.179842,0.192631,0.193796,0.1866,0.181882,0.174163,,,,,,,,,,,,,,,,,,,,,,
,800,0.161436,0.171356,0.180345,0.174201,0.172505,0.183681,0.186703,0.178117,0.173881,0.167253,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abs data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vial no.,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,
,Time (s),15,30,60,90,120,150,210,270,330,390,,,,,,,,,,,,,,,,,,,,,,
Wavelength,450,1.81306,2.68094,1.88115,1.54784,1.25871,1.4139,1.62072,1.51989,1.74162,1.48345,,,,,,,,,,,,,,,,,,,,,,
,460,2.30359,3.20425,2.58424,2.02118,1.90261,1.71077,1.52324,1.63063,1.45152,2.02359,,,,,,,,,,,,,,,,,,,,,,
,470,2.71012,3.54285,3.46836,2.44973,2.12843,1.723,1.58087,1.8319,1.80199,2.22722,,,,,,,,,,,,,,,,,,,,,,
,480,2.28542,3.31456,3.73255,2.55693,2.14386,1.51202,1.54831,1.66694,1.5564,1.64423,,,,,,,,,,,,,,,,,,,,,,
,490,2.27728,3.33876,3.38678,3.09659,2.49058,2.09176,1.56748,1.64954,1.35616,1.72736,,,,,,,,,,,,,,,,,,,,,,
,500,1.65638,2.4323,3.06442,3.27446,2.72262,2.00534,1.77056,1.72969,1.33952,1.65484,,,,,,,,,,,,,,,,,,,,,,
,510,1.76481,2.30801,2.69495,2.6493,2.56103,2.60427,2.49492,1.84731,1.54698,1.70972,,,,,,,,,,,,,,,,,,,,,,
,520,1.45834,1.77961,1.82916,2.28962,2.08705,2.13806,2.30149,2.46492,2.14538,2.05675,,,,,,,,,,,,,,,,,,,,,,
,530,1.40566,1.99599,1.87885,2.09456,1.65706,1.97806,2.12882,2.20345,2.23017,2.7738,,,,,,,,,,,,,,,,,,,,,,
,540,1.12481,1.64598,1.88337,1.57592,1.37755,1.67785,1.80567,1.98519,1.94921,2.33764,,,,,,,,,,,,,,,,,,,,,,
,550,1.0472,1.52476,1.55415,1.62725,1.1625,1.3015,1.25036,1.50566,1.4131,1.75836,,,,,,,,,,,,,,,,,,Sample time (s),,Peak Wavelength (nm),,Radius (nm)
,560,1.056,1.43619,1.54617,1.3479,1.31591,1.01711,0.932416,1.27982,1.24785,1.37662,,,,,,,,,,,,,,,,,,15,,470,,2.0393
,570,0.816904,1.14825,1.16298,1.18985,1.1842,1.13901,0.946809,1.07543,1.27896,1.13348,,,,,,,,,,,,,,,,,,30,,470,,2.0393
,580,0.75998,1.08893,1.61583,1.23373,1.25678,1.06901,0.994726,1.08393,0.902473,0.789277,,,,,,,,,,,,,,,,,,60,,480,,2.1047
,590,0.635392,0.909858,1.40122,1.44928,0.965598,0.841723,0.819414,1.05464,0.909624,0.864173,,,,,,,,,,,,,,,,,,90,,498,,2.2317
,600,0.408295,1.09708,1.4379,1.18069,1.11957,0.982949,0.669695,0.930111,0.623525,0.67824,,,,,,,,,,,,,,,,,,120,,501,,2.2542
,610,0.378186,0.892248,1.31498,1.02519,1.15534,1.08954,0.923331,0.608868,0.724055,0.823872,,,,,,,,,,,,,,,,,,150,,510,,2.3243
,620,0.320441,0.886041,1.31118,1.41437,1.26232,1.13845,0.967199,0.962093,0.74037,0.583015,,,,,,,,,,,,,,,,,,210,,512,,2.3404
,630,0.200006,0.782453,1.35932,0.873243,1.20823,0.815977,1.08412,0.883092,0.794815,0.825517,,,,,,,,,,,,,,,,,,270,,521,,2.4156
,640,0.28524,0.713212,1.15895,1.14277,1.27472,1.08985,1.03534,0.996173,0.719993,0.945141,,,,,,,,,,,,,,,,,,330,,528,,2.4774
,650,0.126283,0.556813,1.29256,1.29896,1.19633,1.06383,1.02595,0.821007,0.861921,0.827162,,,,,,,,,,,,,,,,,,390,,531,,2.5408
,660,0.231688,0.584196,1.37793,1.35909,1.23855,1.32695,1.13931,0.799071,0.720305,0.87254,,,,,,,,,,,,,,,,,,,,,,
,670,0.0290864,0.710864,1.04552,1.41324,1.24728,0.981679,1.04107,0.877072,0.79097,0.86082,,,,,,,,,,,,,,,,,,,,,,
,680,0.148867,0.405922,0.964812,1.05513,1.10917,1.48526,1.23546,0.831227,0.858007,0.863378,,,,,,,,,,,,,,,,,,,,,,
,690,0.0764973,0.593776,0.914771,1.40566,1.09099,1.10394,0.91604,0.985543,1.02521,0.931735,,,,,,,,,,,,,,,,,,,,,,
,700,0.0773456,0.370218,1.06145,0.774433,1.14652,1.23523,1.27947,1.12399,0.955525,1.06705,,,,,,,,,,,,,,,,,,,,,,
